Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.4,10.1,9.1,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8,8.9,8.4,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.6,8.5,8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),8.5,10.2,9.1,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.7,9.5,8.4,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.5,9.1,8.1,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),7.7,8.7,8.2,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, East New York,204,Fine Particulate Matter (PM2.5),6.7,7.7,7.2,,,
Summer 2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),8.8,10.2,9.3,,,
Summer 2016,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),7.2,8.8,7.8,,,
Summer 2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Fine Particulate Matter (PM2.5),8.4,9.8,8.9,,,
